treatment,timepoint,Material,description,Species,Species_rep_rel_abund,st_dev_Species_abund
no UV,T1,Nylon,Nylon_no UV_T1, Dokdonia pacifica,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Thalassobaculum salexigens DSM 19539,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Alphaproteobacteria sp. MG35,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Ruegeria sp. JZ11IS22,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Halioglobus japonicus,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Altererythrobacter sp. BR-75,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Dyadobacter sp. Leaf189,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Oligobrachia mashikoi endosymbiont B,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Porphyrobacter meromictius,0,0
no UV,T1,Nylon,Nylon_no UV_T1, bacterium YC-ZSS-LKJ77,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Tropicibacter litoreus R37,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Croceibacter atlanticus HTCC2559,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Listeria ivanovii subsp. londoniensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Altererythrobacter sp. CC-AMWO-103A,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Spongiibacterium pacificum,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Eionea flava,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Thalassotalea ganghwensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, bacterium enrichment culture clone Anammox_9,0,0
no UV,T1,Nylon,Nylon_no UV_T1, alpha proteobacterium ARP-2-16,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Tateyamaria omphalii,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Roseobacter sp. SPO804,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudomonas sp. C23,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Loktanella sediminum,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Coraliomargarita akajimensis DSM 45221,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Flavobacteriaceae bacterium RC2-3,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Muricauda sp. LR3,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Parvularculaceae bacterium GUDS1168,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Erythromicrobium sp. AMV10,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Celeribacter sp. CY411,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Tenacibaculum sp. 116,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Rhodobacteraceae bacterium B62Ydz-zz,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Sulfitobacter sp. AM1-D1,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Ferrimonas futtsuensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Winogradskyella sp. K7-7,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Micrococcus sp. BBN2C-03d,0,0
no UV,T1,Nylon,Nylon_no UV_T1, mucus bacterium 106,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudooceanicola marinus,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Costertonia aggregata,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Altererythrobacter sp. JSSK-8,0,0
no UV,T1,Nylon,Nylon_no UV_T1, gamma proteobacterium NOR5-3,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Tenacibaculum sp. FDZWPB0420,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Roseovarius sp. kmb46,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Photobacterium sp. IAJ19,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Kiloniella litopenaei,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Maritalea sp. LNM-14,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Roseinatronobacter sp. 3.5P10,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Bacteroidetes bacterium JS5,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Lysobacter sp.,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Roseobacter sp. HJ105,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Alcanivorax pacificus W11-5,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Thalassobius sp. KU27E3,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Flavobacteriaceae bacterium GUDS972,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Litorimonas sp. HME8110,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Brevundimonas vesicularis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Ferrimonas sp. MEBiC05068,0,0
no UV,T1,Nylon,Nylon_no UV_T1, delta proteobacterium K2-52,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Microscilla sp. DG946,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Scapharca broughtonii,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Erythrobacter sp. AS-45,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Sphingopyxis sp. MEBiC05060,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Erythrobacter sp. TVS49,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Paracoccus cavernae,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Psychroflexus salarius,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudooceanicola flagellatus,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Aureispira sp. CCB-QB1,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Lewinella cohaerens DSM 23179,0,0
no UV,T1,Nylon,Nylon_no UV_T1, BTEX-degrading bacterium enrichment culture,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Reichenbachiella sp. DC003,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Muriicola marianensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Flexibacteraceae bacterium Kor,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Paracoccus sp. MBIC1145,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Clostridium baratii,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Erythrobacter sp. MBIC3031,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Sulfitobacter sp. MOLA 356,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Maricaulis sp. c11-37,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Flavobacteriaceae bacterium,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Flagellimonas sp. DK169,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Aquimarina hainanensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Winogradskyella sp. HME9613,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Jejuia sp. Gy8,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Epibacterium ulvae,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Spongiivirga citrea,0,0
no UV,T1,Nylon,Nylon_no UV_T1, marine bacterium K8-13,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Schizothrix aff. septentrionalis LEGE 07164,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Parvularculaceae bacterium HSF6,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Photobacterium sp. J15,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Polaribacter sp. USW115,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Rhodobacteraceae bacterium SF-12,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Nitratireductor sp. WW12(2011),0,0
no UV,T1,Nylon,Nylon_no UV_T1, Paramoritella sp. LMJ,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Tropicimonas sp. YBW34,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Acidovorax sp. Leaf78,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Kyrtuthrix huatulcensis C708,0,0
no UV,T1,Nylon,Nylon_no UV_T1, bacterium RCC 1919,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Jannaschia seosinensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, mucus bacterium 117,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudahrensia todarodis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Bradyrhizobium sp. CTO13,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Winogradskyella sp. PG-2,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Phaeobacter gallaeciensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Wohlfahrtiimonas larvae,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Dokdonia sp. PRO95,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Roseivivax jejudonensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Thioclava sp. SK-1,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Psychroserpens mesophilus,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Rhodobacter sp. K1D114,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Parvularcula oceani,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Tenacibaculum litopenaei,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Marinobacter similis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Rhodobacteraceae bacterium WDS4C29,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Yonghaparkia alkaliphila,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Synechococcus sp. LEGE 07074,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pleomorphobacterium xiamenense,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Methylobacterium sp. DDW-1,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudoroseobacter euryhalinus,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Winogradskyella sp. IMCC25621,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Aliiroseovarius zhejiangensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Hormoscilla pringsheimii SAG 1407-1,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Labrenzia marina,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Thalassobius aestuarii,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Photobacterium damselae subsp. piscicida (causative agent of fish,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Turicella otitidis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Malonomonas rubra,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Lutimaribacter saemankumensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Alteromonas sp. TS-2016E,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Kocuria rhizophila,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Staphylococcus hyicus,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Dinoroseobacter shibae DFL 12 = DSM 16493,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Granulosicoccus sp. ZS4-22,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Stenotrophomonas sp. NIHHS110,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Erythrobacter sp. U1370-101126-SW175,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Rhodobacteraceae bacterium HSML-FTL-9i,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Rhodobacteraceae bacterium JAMH 0111,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Altererythrobacter ishigakiensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Candidatus Rhodobacter lobularis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Thalassobius sp. CECT 5113,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Phyllobacteriaceae bacterium X9-2-2,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Antarcticimonas flava,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Aequorivita sp. HC6-5,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudomarivita litorea,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Kiloniella laminariae,0,0
no UV,T1,Nylon,Nylon_no UV_T1, sulfur-oxidizing bacterium OAII2,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Hyphomonas adhaerens MHS-3,0,0
no UV,T1,Nylon,Nylon_no UV_T1, bacterium RFB A03,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Oceanospirillum maris,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Ilumatobacter nonamiensis YM16-303,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Spongitalea numazuensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Staphylococcus sp. M210,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudomonas mendocina,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Brachybacterium paraconglomeratum,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Flavobacteriaceae bacterium SA-0082,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Psychroserpens sp. MEBiC05023,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Lyngbya sp. kushi1mo20,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Rhodobacter sp. CW-39,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Winogradskyella sp. PC-8,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Aureisphaera galaxeae,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Muricauda lutaonensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Maritimimonas rapanae,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Corynebacterium sp. DNF00584,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Aestuariivita atlantica,0,0
no UV,T1,Nylon,Nylon_no UV_T1, alpha proteobacterium ML42,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Altererythrobacter aestiaquae,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Nitratireductor basaltis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Parvularculaceae bacterium GUDS979,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Corynebacterium riegelii,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Tropicibacter sp. L1 8-17,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Oceanobacter kriegii,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Alcaligenes faecalis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Bradyrhizobium sp. CCBAU 23171,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Sphingomonas sp. R060,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Muricauda sp. H19-56,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Loktanella koreensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, gamma proteobacterium Y-134,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Vibrio agarivorans,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Tropicibacter multivorans,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Arctic sea ice bacterium ARK10267,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Microcella alkaliphila,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Persicobacter sp. CCB-QB2,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Lutibacter oricola,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Leptolyngbya sp. RS03,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Mitsuaria chitosanitabida NBRC 102408,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Ferrimonas marina NBRC 102583,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Arthrobacter sp. R47,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Streptococcus sp. enrichment culture clone SRC_DSC23,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Erythrobacter sp. CJ012,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Octadecabacter sp. CAU 1310,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Flavobacteriaceae bacterium DN112_6A5,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Lacinutrix iliipiscaria,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Hyphomonas beringensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Thalassobius sp. EDA2,0,0
no UV,T1,Nylon,Nylon_no UV_T1, endosymbiont of Bugula pacifica,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Corynebacterium pseudotuberculosis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudaminobacter salicylatoxidans,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Halomonas ventosae,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Altererythrobacter sp. MH-B5,0,0
no UV,T1,Nylon,Nylon_no UV_T1, bacterium 1H118,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Thalassobius maritimus,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Holospora acuminata,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Gilvibacter sediminis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Flaviramulus ichthyoenteri Th78,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Oceanicola granulosus HTCC2516,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Rhodobacteraceae bacterium KLH11,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Rhodovulum tesquicola,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Ponticaulis koreensis DSM 19734,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Dongia soli,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Kangiella sp. MMH2-2,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Alcaligenes sp. G15,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Tropicimonas sp. R-4-M-3,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Grimontia hollisae,0,0
no UV,T1,Nylon,Nylon_no UV_T1, alpha proteobacterium MBIC3953,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Roseivirga spongicola,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Prevotella buccalis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Formosa sp. SS15.6,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Sphingomonas sp. X7(2010),0,0
no UV,T1,Nylon,Nylon_no UV_T1, Loktanella salsilacus,0,0
no UV,T1,Nylon,Nylon_no UV_T1, alpha proteobacterium MBIC3035,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Deinococcus wulumuqiensis R12,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Tropicibacter naphthalenivorans,0,0
no UV,T1,Nylon,Nylon_no UV_T1, gamma proteobacterium Mo10 red,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Synechococcus sp. MBIC10598,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Marivita sp. CZ-AX3,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Kangiella chungangensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudozobellia thermophila,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pelagibacterium sp.,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Mycobacterium abscessus subsp. bolletii,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Brevundimonas sp. 210_31,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Myroides odoratus,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Vibrio stylophorae,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pelagicoccus croceus,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pelagicoccus mobilis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Mesoflavibacter zeaxanthinifaciens S86,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Loktanella sp. 3ANDIMAR09,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Hwanghaeicola aestuarii,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Chlorogloea microcystoides SAG 10.99,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Rhodobacter sp. 13636H,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudoruegeria litorea,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Staphylococcus aureus,0,0
no UV,T1,Nylon,Nylon_no UV_T1, bacterium AMSU,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Flavobacteriaceae bacterium BSw21912,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Olleya sp. R18-12,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Roseobacter sp. LA7,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Croceitalea sp. CBA3206,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Erythrobacter nanhaisediminis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Veillonellaceae bacterium DNF00626,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Wenxinia marina DSM 24838,0,0
no UV,T1,Nylon,Nylon_no UV_T1, mucus bacterium 112,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Xanthobacillum maris,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Vibrio cholerae,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Sphingomonas sp. NR 1-04,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Bacterioplanes sanyensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Saccharina japonica,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Perspicuibacter marinus,0,0
no UV,T1,Nylon,Nylon_no UV_T1, filamentous cyanobacterium 73-2,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Bradyrhizobium sp. WBOS13,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Lutimaribacter pacificus,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Sphingorhabdus pacifica,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudoruegeria sp. a4,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Photobacterium sp. EXT15,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Donghicola sp.,0,0
no UV,T1,Nylon,Nylon_no UV_T1, alpha proteobacterium C09,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudomonas sp. TB23,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Bacillus decolorationis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Brucella sp. HJ114,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pibocella sp. UDC543,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Alcaligenes sp. B_IV_2L29,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Rhodovulum mangrovi,0,0
no UV,T1,Nylon,Nylon_no UV_T1, bacterium RFB E11,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Marinobacter mobilis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Tenacibaculum sp. NBRC 110214,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Thiothrix sp. FBR0112,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Wenxinia saemankumensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Glaciecola punicea,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Xuhuaishuia manganoxidans,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Aquimarina spongiae,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Psychroserpens sp. A622,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudoruegeria limi,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudahrensia aquimaris,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Sulfitobacter sp. NSA_11,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Sphingomonas sp.,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Cerasicoccus frondis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Erythrobacter sp. SY-46,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Bacteroidetes bacterium MB-G10,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Kordiimonas sediminis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Microbacterium oxydans,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Tropicibacter phthalicicus,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Sphingomonas yunnanensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Paracoccus sp. S1-12,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Loktanella sp. JJ023,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Kamptonema formosum BDU 92022,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Rhodobacteraceae bacterium 2tb2,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Enterovibrio nigricans,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudoruegeria haliotis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Arhodomonas sp. 50B226a_2,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudoruegeria sp. WM62,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Coccinistipes vermicola,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Erythrobacter sp. JL1033,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Labrenzia aggregata,0,0
no UV,T1,Nylon,Nylon_no UV_T1, alpha proteobacterium endosymbiont 2 of Inanidrilus makropetalos,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Rhodobacteraceae bacterium REDSEA-S03_B4,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudooceanicola antarcticus,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Roseovarius aestuarii,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Croceitalea sp. H01-35,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Octadecabacter ascidiaceicola,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Enterococcus bulliens,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Lewinella sp. HME9359,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Leptolyngbya sp. PCC 7376,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Brevibacterium sp. JCM 28731,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Loktanella sp. J1,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Sphingopyxis sp. REDSEA-S23_B6,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Parvularcula sp. BBD 1991-13,0,0
no UV,T1,Nylon,Nylon_no UV_T1, bacterium enrichment culture clone EB39.2,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudodonghicola xiamenensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Zeaxanthinibacter aestuarii,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Pseudomonas andersonii,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Tamlana nanhaiensis,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Thalassobius aquaeponti,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Loktanella ponticola,0,0
no UV,T1,Nylon,Nylon_no UV_T1, cf. Phormidesmis sp. LEGE 11477,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Rhodovulum sulfidophilum,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Kordia sp. NBRC 110215,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Streptococcus pneumoniae,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Caldora penicillata VP642b,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Enterovibrio sp. EF4A-CB187,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Altererythrobacter sp. Th20,0,0
no UV,T1,Nylon,Nylon_no UV_T1, Hyphomonas group bacterium LA49,0,0
