treatment,timepoint,Material,description,Genus,Genus_rep_rel_abund,st_dev_Genus_abund
no UV,T6,PE,PE_no UV_T6, Niveispirillum,0,0
no UV,T6,PE,PE_no UV_T6, Coriobacteriaceae UCG-002,0,0
no UV,T6,PE,PE_no UV_T6, Methylomicrobium,0,0
no UV,T6,PE,PE_no UV_T6, Fulvibacter,0,0
no UV,T6,PE,PE_no UV_T6, Fulvitalea,0,0
no UV,T6,PE,PE_no UV_T6, Hasllibacter,0,0
no UV,T6,PE,PE_no UV_T6, Gulosibacter,0,0
no UV,T6,PE,PE_no UV_T6, SUP05 cluster,0,0
no UV,T6,PE,PE_no UV_T6, Cloacibacterium,0,0
no UV,T6,PE,PE_no UV_T6, Aeromicrobium,0,0
no UV,T6,PE,PE_no UV_T6, Inmirania,0,0
no UV,T6,PE,PE_no UV_T6, Cellvibrio,0,0
no UV,T6,PE,PE_no UV_T6, Cyanobium PCC-6307,0,0
no UV,T6,PE,PE_no UV_T6, [Anaerorhabdus] furcosa group,0,0
no UV,T6,PE,PE_no UV_T6, Parvimonas,0,0
no UV,T6,PE,PE_no UV_T6, Asanoa,0,0
no UV,T6,PE,PE_no UV_T6, Intrasporangium,0,0
no UV,T6,PE,PE_no UV_T6, Acetobacter,0,0
no UV,T6,PE,PE_no UV_T6, Neiella,0,0
no UV,T6,PE,PE_no UV_T6, Luteimonas,0,0
no UV,T6,PE,PE_no UV_T6, Zooshikella,0,0
no UV,T6,PE,PE_no UV_T6, Rapidithrix,0,0
no UV,T6,PE,PE_no UV_T6, Aliagarivorans,0,0
no UV,T6,PE,PE_no UV_T6, Macellibacteroides,0,0
no UV,T6,PE,PE_no UV_T6, Eionea,0,0
no UV,T6,PE,PE_no UV_T6, Lachnospiraceae UCG-008,0,0
no UV,T6,PE,PE_no UV_T6, Aestuariicella,0,0
no UV,T6,PE,PE_no UV_T6, Oceaniserpentilla,0,0
no UV,T6,PE,PE_no UV_T6, Limnohabitans,0,0
no UV,T6,PE,PE_no UV_T6, Pseudomaricurvus,0,0
no UV,T6,PE,PE_no UV_T6, Simplicispira,0,0
no UV,T6,PE,PE_no UV_T6, IheB3-7,0,0
no UV,T6,PE,PE_no UV_T6, Profundimonas,0,0
no UV,T6,PE,PE_no UV_T6, Candidatus Nucleicultrix,0,0
no UV,T6,PE,PE_no UV_T6, Insolitispirillum,0,0
no UV,T6,PE,PE_no UV_T6, Terrisporobacter,0,0
no UV,T6,PE,PE_no UV_T6, Primorskyibacter,0,0
no UV,T6,PE,PE_no UV_T6, Taeseokella,0,0
no UV,T6,PE,PE_no UV_T6, Oceanibulbus,0,0
no UV,T6,PE,PE_no UV_T6, Nesterenkonia,0,0
no UV,T6,PE,PE_no UV_T6, Roseibium,0,0
no UV,T6,PE,PE_no UV_T6, Solibacillus,0,0
no UV,T6,PE,PE_no UV_T6, Cereibacter,0,0
no UV,T6,PE,PE_no UV_T6, Yangia,0,0
no UV,T6,PE,PE_no UV_T6, Verrucomicrobium,0,0
no UV,T6,PE,PE_no UV_T6, Christensenellaceae R-7 group,0,0
no UV,T6,PE,PE_no UV_T6, Bermanella,0,0
no UV,T6,PE,PE_no UV_T6, Lampropedia,0,0
no UV,T6,PE,PE_no UV_T6, Defluviicoccus,0,0
no UV,T6,PE,PE_no UV_T6, AqS1,0,0
no UV,T6,PE,PE_no UV_T6, Halodurantibacterium,0,0
no UV,T6,PE,PE_no UV_T6, Clade Ia,0,0
no UV,T6,PE,PE_no UV_T6, Megasphaera,0,0
no UV,T6,PE,PE_no UV_T6, Arenibacter,0,0
no UV,T6,PE,PE_no UV_T6, Aureibacter,0,0
no UV,T6,PE,PE_no UV_T6, Brachymonas,0,0
no UV,T6,PE,PE_no UV_T6, dgA-11 gut group,0,0
no UV,T6,PE,PE_no UV_T6, Candidatus Alysiosphaera,0,0
no UV,T6,PE,PE_no UV_T6, Anaeromicrobium,0,0
no UV,T6,PE,PE_no UV_T6, Kineococcus,0,0
no UV,T6,PE,PE_no UV_T6, Duganella,0,0
no UV,T6,PE,PE_no UV_T6, Dermatophilus,0,0
no UV,T6,PE,PE_no UV_T6, Rhodanobacter,0,0
no UV,T6,PE,PE_no UV_T6, Pseudanabaena NgrPSln22,0,0
no UV,T6,PE,PE_no UV_T6, Annamia HOs24,0,0
no UV,T6,PE,PE_no UV_T6, Zunongwangia,0,0
no UV,T6,PE,PE_no UV_T6, Nibribacter,0,0
no UV,T6,PE,PE_no UV_T6, Orientia,0,0
no UV,T6,PE,PE_no UV_T6, Rhodomicrobium,0,0
no UV,T6,PE,PE_no UV_T6, Youhaiella,0,0
no UV,T6,PE,PE_no UV_T6, Amnibacterium,0,0
no UV,T6,PE,PE_no UV_T6, Pontibacter,0,0
no UV,T6,PE,PE_no UV_T6, Falsochrobactrum,0,0
no UV,T6,PE,PE_no UV_T6, Marimicrobium,0,0
no UV,T6,PE,PE_no UV_T6, Candidatus Soleaferrea,0,0
no UV,T6,PE,PE_no UV_T6, Ruminococcaceae UCG-005,0,0
no UV,T6,PE,PE_no UV_T6, Tagaea,0,0
no UV,T6,PE,PE_no UV_T6, Yersinia,0,0
no UV,T6,PE,PE_no UV_T6, Kamptonema PCC-6407,0,0
no UV,T6,PE,PE_no UV_T6, Mangrovimonas,0,0
no UV,T6,PE,PE_no UV_T6, Catenovulum,0,0
no UV,T6,PE,PE_no UV_T6, Litoricola,0,0
no UV,T6,PE,PE_no UV_T6, Candidatus Symbiobacter,0,0
no UV,T6,PE,PE_no UV_T6, Laceyella,0,0
no UV,T6,PE,PE_no UV_T6, Raoultella,0,0
no UV,T6,PE,PE_no UV_T6, Saccharophagus,0,0
no UV,T6,PE,PE_no UV_T6, Marivirga,0,0
no UV,T6,PE,PE_no UV_T6, Cyanobacterium CLg1,0,0
no UV,T6,PE,PE_no UV_T6, Thermus,0,0
no UV,T6,PE,PE_no UV_T6, Desulfotalea,0,0
no UV,T6,PE,PE_no UV_T6, Saccharopolyspora,0,0
no UV,T6,PE,PE_no UV_T6, JL-ETNP-F27,0,0
no UV,T6,PE,PE_no UV_T6, Citrobacter,0,0
no UV,T6,PE,PE_no UV_T6, Leptolyngbya ANT.L67.1,0,0
no UV,T6,PE,PE_no UV_T6, Gleocapsa,0,0
no UV,T6,PE,PE_no UV_T6, Salegentibacter sp. PR54-18,0,0
no UV,T6,PE,PE_no UV_T6, Phaselicystis,0,0
no UV,T6,PE,PE_no UV_T6, Chamaesiphon PCC-7430,0,0
no UV,T6,PE,PE_no UV_T6, Deltaproteobacteria bacterium SKP-2,0,0
no UV,T6,PE,PE_no UV_T6, Motiliproteus,0,0
no UV,T6,PE,PE_no UV_T6, [Eubacterium] fissicatena group,0,0
no UV,T6,PE,PE_no UV_T6, Bernardetia,0,0
no UV,T6,PE,PE_no UV_T6, Methylohalomonas,0,0
no UV,T6,PE,PE_no UV_T6, Treponema 2,0,0
no UV,T6,PE,PE_no UV_T6, Rhodobium,0,0
no UV,T6,PE,PE_no UV_T6, Sorangiineae bacterium NIC37A_2,0,0
no UV,T6,PE,PE_no UV_T6, Calothrix KVSF5,0,0
no UV,T6,PE,PE_no UV_T6, Halobacillus,0,0
no UV,T6,PE,PE_no UV_T6, Candidatus Neoehrlichia sp. HT_IT_4,0,0
no UV,T6,PE,PE_no UV_T6, Aridibacter,0,0
no UV,T6,PE,PE_no UV_T6, Homoserinibacter,0,0
no UV,T6,PE,PE_no UV_T6, Luteitalea,0,0
no UV,T6,PE,PE_no UV_T6, Salinibacterium,0,0
no UV,T6,PE,PE_no UV_T6, Pseudopelagicola,0,0
no UV,T6,PE,PE_no UV_T6, Gilvimarinus,0,0
no UV,T6,PE,PE_no UV_T6, Marinifilum,0,0
no UV,T6,PE,PE_no UV_T6, Leeuwenhoekiella,0,0
no UV,T6,PE,PE_no UV_T6, Bryocella,0,0
no UV,T6,PE,PE_no UV_T6, Sporichthya,0,0
no UV,T6,PE,PE_no UV_T6, Candidatus Cryptoprodotis,0,0
no UV,T6,PE,PE_no UV_T6, Nisaea,0,0
no UV,T6,PE,PE_no UV_T6, Schlegelella,0,0
no UV,T6,PE,PE_no UV_T6, Tetrasphaera,0,0
no UV,T6,PE,PE_no UV_T6, Eilatimonas,0,0
no UV,T6,PE,PE_no UV_T6, bacterium UW 659-2-F09,0,0
no UV,T6,PE,PE_no UV_T6, Desulfurivibrio,0,0
no UV,T6,PE,PE_no UV_T6, Frondibacter,0,0
no UV,T6,PE,PE_no UV_T6, Sediminicola,0,0
no UV,T6,PE,PE_no UV_T6, Pseudohoeflea,0,0
no UV,T6,PE,PE_no UV_T6, Curtobacterium,0,0
no UV,T6,PE,PE_no UV_T6, Flavivirga,0,0
no UV,T6,PE,PE_no UV_T6, Pleomorphomonas,0,0
no UV,T6,PE,PE_no UV_T6, Clostridium sensu stricto 13,0,0
no UV,T6,PE,PE_no UV_T6, Z-35,0,0
no UV,T6,PE,PE_no UV_T6, Magnetococcus,0,0
no UV,T6,PE,PE_no UV_T6, Negativicoccus,0,0
no UV,T6,PE,PE_no UV_T6, Phocoenobacter,0,0
no UV,T6,PE,PE_no UV_T6, Pseudobacteriovorax,0,0
no UV,T6,PE,PE_no UV_T6, Anaerolineaceae UCG-001,0,0
no UV,T6,PE,PE_no UV_T6, Wandonia,0,0
no UV,T6,PE,PE_no UV_T6, Candidatus Bacilloplasma,0,0
no UV,T6,PE,PE_no UV_T6, Simiduia,0,0
no UV,T6,PE,PE_no UV_T6, Thiohalobacter,0,0
no UV,T6,PE,PE_no UV_T6, Teredinibacter,0,0
no UV,T6,PE,PE_no UV_T6, Aeromonas hydrophila subsp. hydrophila,0,0
no UV,T6,PE,PE_no UV_T6, cf. Cytophaga sp. MGP-3,0,0
no UV,T6,PE,PE_no UV_T6, Nubsella,0,0
no UV,T6,PE,PE_no UV_T6, Candidatus Cryptoplasma,0,0
no UV,T6,PE,PE_no UV_T6, Arsenicitalea,0,0
no UV,T6,PE,PE_no UV_T6, Oceanococcus,0,0
no UV,T6,PE,PE_no UV_T6, Stigonema SAG 48.90,0,0
no UV,T6,PE,PE_no UV_T6, Rubrivivax,0,0
no UV,T6,PE,PE_no UV_T6, Erysipelotrichaceae UCG-003,0,0
no UV,T6,PE,PE_no UV_T6, Globicatella,0,0
no UV,T6,PE,PE_no UV_T6, Inhella,0,0
no UV,T6,PE,PE_no UV_T6, Zobellia,0,0
no UV,T6,PE,PE_no UV_T6, Clostridium sensu stricto 11,0,0
no UV,T6,PE,PE_no UV_T6, Agrococcus,0,0
no UV,T6,PE,PE_no UV_T6, Meridianimaribacter,0,0
no UV,T6,PE,PE_no UV_T6, Turicibacter,0,0
no UV,T6,PE,PE_no UV_T6, gamma proteobacterium enrichment culture clone TT-1470,0,0
no UV,T6,PE,PE_no UV_T6, Gemmatirosa,0,0
no UV,T6,PE,PE_no UV_T6, Enteractinococcus,0,0
no UV,T6,PE,PE_no UV_T6, Lytechinus variegatus (green sea urchin),0,0
no UV,T6,PE,PE_no UV_T6, Aestuariivivens,0,0
no UV,T6,PE,PE_no UV_T6, 3PJM14,0,0
no UV,T6,PE,PE_no UV_T6, Chthonobacter,0,0
no UV,T6,PE,PE_no UV_T6, Chthoniobacter,0,0
no UV,T6,PE,PE_no UV_T6, Inquilinus,0,0
no UV,T6,PE,PE_no UV_T6, Crossiella,0,0
no UV,T6,PE,PE_no UV_T6, Varibaculum,0,0
no UV,T6,PE,PE_no UV_T6, Rubinisphaera,0,0
no UV,T6,PE,PE_no UV_T6, Roseimaritima,0,0
no UV,T6,PE,PE_no UV_T6, Imperialibacter,0,0
no UV,T6,PE,PE_no UV_T6, Microlunatus,0,0
no UV,T6,PE,PE_no UV_T6, Paeniclostridium,0,0
no UV,T6,PE,PE_no UV_T6, Aquaspirillum,0,0
no UV,T6,PE,PE_no UV_T6, Vitellibacter,0,0
no UV,T6,PE,PE_no UV_T6, Neosynechococcus,0,0
no UV,T6,PE,PE_no UV_T6, Anaerovorax,0,0
no UV,T6,PE,PE_no UV_T6, Pannonibacter,0,0
no UV,T6,PE,PE_no UV_T6, Paenirhodobacter,0,0
no UV,T6,PE,PE_no UV_T6, Ectothiorhodospira,0,0
no UV,T6,PE,PE_no UV_T6, Blastomonas,0,0
no UV,T6,PE,PE_no UV_T6, Peptoclostridium,0,0
no UV,T6,PE,PE_no UV_T6, Yeosuana,0,0
no UV,T6,PE,PE_no UV_T6, Geobacter,0,0
no UV,T6,PE,PE_no UV_T6, Dermabacter,0,0
no UV,T6,PE,PE_no UV_T6, Sinomonas,0,0
no UV,T6,PE,PE_no UV_T6, Pseudonocardia,0,0
no UV,T6,PE,PE_no UV_T6, wb1-P19,0,0
no UV,T6,PE,PE_no UV_T6, Flaviramulus sp. KLE1226,0,0
no UV,T6,PE,PE_no UV_T6, Rickettsia,0,0
no UV,T6,PE,PE_no UV_T6, Arcobacter,0,0
no UV,T6,PE,PE_no UV_T6, Desulfomicrobium,0,0
no UV,T6,PE,PE_no UV_T6, MSBL3,0,0
no UV,T6,PE,PE_no UV_T6, Candidatus Puniceispirillum,0,0
no UV,T6,PE,PE_no UV_T6, Odoribacter,0,0
no UV,T6,PE,PE_no UV_T6, Algibacter,0,0
no UV,T6,PE,PE_no UV_T6, Paradevosia,0,0
no UV,T6,PE,PE_no UV_T6, Williamsia,0,0
UV,T6,PP,PP_UV_T6, Desulfosarcina,0,0
UV,T6,PP,PP_UV_T6, Streptococcus,0,0
UV,T6,PP,PP_UV_T6, Thermicanus,0,0
UV,T6,PP,PP_UV_T6, Arcticiflavibacter,0,0
UV,T6,PP,PP_UV_T6, Halomonas,0,0
UV,T6,PP,PP_UV_T6, Pleurocapsa PCC-7319,0,0
UV,T6,PP,PP_UV_T6, Robiginitomaculum,0,0
UV,T6,PP,PP_UV_T6, Croceitalea,0,0
UV,T6,PP,PP_UV_T6, Terasakiispira,0,0
UV,T6,PP,PP_UV_T6, Massilia,0,0
UV,T6,PP,PP_UV_T6, Gardnerella,0,0
UV,T6,PP,PP_UV_T6, Aquimarina sp. NS08,0,0
UV,T6,PP,PP_UV_T6, Oceaniovalibus,0,0
UV,T6,PP,PP_UV_T6, Ignatzschineria,0,0
UV,T6,PP,PP_UV_T6, NS10 marine group,0,0
UV,T6,PP,PP_UV_T6, [Eubacterium] nodatum group,0,0
UV,T6,PP,PP_UV_T6, Neisseria,0,0
UV,T6,PP,PP_UV_T6, Catellicoccus,0,0
UV,T6,PP,PP_UV_T6, Bythopirellula,0,0
UV,T6,PP,PP_UV_T6, Agarivorans,0,0
UV,T6,PP,PP_UV_T6, Leuconostoc,0,0
UV,T6,PP,PP_UV_T6, Janibacter,0,0
UV,T6,PP,PP_UV_T6, Crinalium SAG 22.89,0,0
UV,T6,PP,PP_UV_T6, Marixanthomonas,0,0
UV,T6,PP,PP_UV_T6, Buttiauxella,0,0
UV,T6,PP,PP_UV_T6, Pseudarthrobacter,0,0
UV,T6,PP,PP_UV_T6, Kytococcus,0,0
UV,T6,PP,PP_UV_T6, Paenochrobactrum,0,0
UV,T6,PP,PP_UV_T6, Formosa,0,0
UV,T6,PP,PP_UV_T6, Litorimonas,0,0
UV,T6,PP,PP_UV_T6, Kordiimonas,0,0
UV,T6,PP,PP_UV_T6, Faecalibacterium,0,0
UV,T6,PP,PP_UV_T6, Blastocatella,0,0
UV,T6,PP,PP_UV_T6, Leptolyngbya LEGE-06070,0,0
UV,T6,PP,PP_UV_T6, Ferruginibacter,0,0
UV,T6,PP,PP_UV_T6, Prevotella,0,0
UV,T6,PP,PP_UV_T6, Maribacter,0,0
UV,T6,PP,PP_UV_T6, Leptospira,0,0
UV,T6,PP,PP_UV_T6, Synechocystis PCC-6803,0,0
UV,T6,PP,PP_UV_T6, Lactobacillus,0,0
UV,T6,PP,PP_UV_T6, Bacteroides,0,0
UV,T6,PP,PP_UV_T6, Sediminitomix,0,0
UV,T6,PP,PP_UV_T6, AT-s3-44,0,0
UV,T6,PP,PP_UV_T6, Porphyromonas,0,0
UV,T6,PP,PP_UV_T6, Proteiniphilum,0,0
UV,T6,PP,PP_UV_T6, Aequorivita,0,0
UV,T6,PP,PP_UV_T6, Parasphingopyxis,0,0
UV,T6,PP,PP_UV_T6, Nocardioides,0,0
UV,T6,PP,PP_UV_T6, Spirosoma,0,0
UV,T6,PP,PP_UV_T6, B2706-C7,0,0
UV,T6,PP,PP_UV_T6, Microbulbifer,0,0
UV,T6,PP,PP_UV_T6, Microvirga,0,0
UV,T6,PP,PP_UV_T6, Leptolyngbya VRUC 135,0,0
UV,T6,PP,PP_UV_T6, Prevotella 7,0,0
UV,T6,PP,PP_UV_T6, Dyadobacter,0,0
UV,T6,PP,PP_UV_T6, Brevibacterium,0,0
UV,T6,PP,PP_UV_T6, Thalassolituus,0,0
UV,T6,PP,PP_UV_T6, Listeria,0,0
UV,T6,PP,PP_UV_T6, Carboxylicivirga,0,0
UV,T6,PP,PP_UV_T6, Magnetospira,0,0
UV,T6,PP,PP_UV_T6, Roseobacter,0,0
UV,T6,PP,PP_UV_T6, Alloprevotella,0,0
UV,T6,PP,PP_UV_T6, Candidatus Nitrosopumilus,0,0
UV,T6,PP,PP_UV_T6, OLB8,0,0
UV,T6,PP,PP_UV_T6, Thiogranum,0,0
UV,T6,PP,PP_UV_T6, Pelagibacterium,0,0
UV,T6,PP,PP_UV_T6, Maritalea,0,0
UV,T6,PP,PP_UV_T6, Lysobacter,0,0
UV,T6,PP,PP_UV_T6, Anaerococcus,0,0
UV,T6,PP,PP_UV_T6, Veillonella,0,0
UV,T6,PP,PP_UV_T6, 1174-901-12,0,0
UV,T6,PP,PP_UV_T6, Fuerstia,0,0
UV,T6,PP,PP_UV_T6, Finegoldia,0,0
UV,T6,PP,PP_UV_T6, Desulfovibrio,0,0
UV,T6,PP,PP_UV_T6, Psychroserpens,0,0
UV,T6,PP,PP_UV_T6, GKS98 freshwater group,0,0
UV,T6,PP,PP_UV_T6, Pseudoclavibacter,0,0
UV,T6,PP,PP_UV_T6, Cellulomonas,0,0
UV,T6,PP,PP_UV_T6, Flagellimonas,0,0
UV,T6,PP,PP_UV_T6, MD3-55,0,0
UV,T6,PP,PP_UV_T6, Frigoribacterium,0,0
UV,T6,PP,PP_UV_T6, Atopobium,0,0
UV,T6,PP,PP_UV_T6, UKL13-1,0,0
UV,T6,PP,PP_UV_T6, Thalassospira,0,0
UV,T6,PP,PP_UV_T6, Gramella,0,0
UV,T6,PP,PP_UV_T6, Spongiivirga,0,0
UV,T6,PP,PP_UV_T6, Methylotenera,0,0
UV,T6,PP,PP_UV_T6, Mycobacterium,0,0
UV,T6,PP,PP_UV_T6, Aminobacter,0,0
UV,T6,PP,PP_UV_T6, Leifsonia,0,0
UV,T6,PP,PP_UV_T6, Marinagarivorans,0,0
UV,T6,PP,PP_UV_T6, Wohlfahrtiimonas,0,0
UV,T6,PP,PP_UV_T6, Pedobacter,0,0
UV,T6,PP,PP_UV_T6, Albirhodobacter,0,0
UV,T6,PP,PP_UV_T6, WDS1C4,0,0
UV,T6,PP,PP_UV_T6, Yonghaparkia,0,0
UV,T6,PP,PP_UV_T6, Neptuniibacter,0,0
UV,T6,PP,PP_UV_T6, Labilibacter,0,0
UV,T6,PP,PP_UV_T6, Geothermobacter,0,0
UV,T6,PP,PP_UV_T6, Pseudorhodobacter,0,0
UV,T6,PP,PP_UV_T6, Algicola,0,0
UV,T6,PP,PP_UV_T6, Phycisphaera,0,0
UV,T6,PP,PP_UV_T6, Malonomonas,0,0
UV,T6,PP,PP_UV_T6, S31,0,0
UV,T6,PP,PP_UV_T6, Paenalcaligenes,0,0
UV,T6,PP,PP_UV_T6, Oceanibaculum,0,0
UV,T6,PP,PP_UV_T6, Hymenobacter,0,0
UV,T6,PP,PP_UV_T6, Jejudonia,0,0
UV,T6,PP,PP_UV_T6, Lentibacter,0,0
UV,T6,PP,PP_UV_T6, Sungkyunkwania,0,0
UV,T6,PP,PP_UV_T6, Providencia,0,0
UV,T6,PP,PP_UV_T6, Persicirhabdus,0,0
UV,T6,PP,PP_UV_T6, Sneathiella,0,0
UV,T6,PP,PP_UV_T6, Frigidibacter,0,0
UV,T6,PP,PP_UV_T6, Pseudozobellia,0,0
UV,T6,PP,PP_UV_T6, Poseidonocella,0,0
UV,T6,PP,PP_UV_T6, Oceanobacter,0,0
UV,T6,PP,PP_UV_T6, Reyranella,0,0
UV,T6,PP,PP_UV_T6, Enterobacter,0,0
UV,T6,PP,PP_UV_T6, Limnobacter,0,0
UV,T6,PP,PP_UV_T6, Chryseomicrobium,0,0
UV,T6,PP,PP_UV_T6, Owenweeksia,0,0
UV,T6,PP,PP_UV_T6, Rheinheimera,0,0
UV,T6,PP,PP_UV_T6, Candidatus Actinomarina,0,0
UV,T6,PP,PP_UV_T6, Tessaracoccus,0,0
UV,T6,PP,PP_UV_T6, Perspicuibacter,0,0
UV,T6,PP,PP_UV_T6, Desulfobotulus,0,0
UV,T6,PP,PP_UV_T6, Phenylobacterium,0,0
UV,T6,PP,PP_UV_T6, Chryseobacterium,0,0
UV,T6,PP,PP_UV_T6, Holospora,0,0
UV,T6,PP,PP_UV_T6, Pelagibaca,0,0
UV,T6,PP,PP_UV_T6, Ponticaulis,0,0
UV,T6,PP,PP_UV_T6, Dongia,0,0
UV,T6,PP,PP_UV_T6, Pleionea,0,0
UV,T6,PP,PP_UV_T6, Sediminibacterium,0,0
UV,T6,PP,PP_UV_T6, Lysinimonas,0,0
UV,T6,PP,PP_UV_T6, Hephaestia,0,0
UV,T6,PP,PP_UV_T6, Fimbriiglobus,0,0
UV,T6,PP,PP_UV_T6, Bergeyella,0,0
UV,T6,PP,PP_UV_T6, Deinococcus,0,0
UV,T6,PP,PP_UV_T6, Rathayibacter,0,0
UV,T6,PP,PP_UV_T6, Iamia,0,0
UV,T6,PP,PP_UV_T6, Anaerocolumna,0,0
UV,T6,PP,PP_UV_T6, Sphingobacterium,0,0
UV,T6,PP,PP_UV_T6, Gemmatimonas,0,0
UV,T6,PP,PP_UV_T6, Dietzia,0,0
UV,T6,PP,PP_UV_T6, Kangiella,0,0
UV,T6,PP,PP_UV_T6, Skermanella,0,0
UV,T6,PP,PP_UV_T6, Arenimonas,0,0
UV,T6,PP,PP_UV_T6, Myroides,0,0
UV,T6,PP,PP_UV_T6, Alistipes,0,0
UV,T6,PP,PP_UV_T6, Oscillatoria SAG 1459-8,0,0
UV,T6,PP,PP_UV_T6, Paludibaculum,0,0
UV,T6,PP,PP_UV_T6, Shewanella,0,0
UV,T6,PP,PP_UV_T6, Chlorogloea SAG 10.99,0,0
UV,T6,PP,PP_UV_T6, Mucilaginibacter,0,0
UV,T6,PP,PP_UV_T6, Lactococcus,0,0
UV,T6,PP,PP_UV_T6, Dialister,0,0
UV,T6,PP,PP_UV_T6, Dysgonomonas,0,0
UV,T6,PP,PP_UV_T6, Pseudochrobactrum,0,0
UV,T6,PP,PP_UV_T6, NS5 marine group,0,0
UV,T6,PP,PP_UV_T6, Acaryochloris MBIC11017,0,0
UV,T6,PP,PP_UV_T6, Diplosphaera,0,0
UV,T6,PP,PP_UV_T6, Glaciecola,0,0
UV,T6,PP,PP_UV_T6, Chelatococcus,0,0
UV,T6,PP,PP_UV_T6, Gordonia,0,0
UV,T6,PP,PP_UV_T6, Lacinutrix,0,0
UV,T6,PP,PP_UV_T6, Leptotrichia,0,0
UV,T6,PP,PP_UV_T6, Citreicella,0,0
UV,T6,PP,PP_UV_T6, MWH-UniP1 aquatic group,0,0
UV,T6,PP,PP_UV_T6, Alloiococcus,0,0
UV,T6,PP,PP_UV_T6, Lysinibacillus,0,0
UV,T6,PP,PP_UV_T6, Gelidibacter,0,0
UV,T6,PP,PP_UV_T6, Kamptonema BDU 30603,0,0
UV,T6,PP,PP_UV_T6, Halopeptonella,0,0
UV,T6,PP,PP_UV_T6, Dermacoccus,0,0
UV,T6,PP,PP_UV_T6, Solirubrobacter,0,0
UV,T6,PP,PP_UV_T6, Rivularia PCC-7116,0,0
UV,T6,PP,PP_UV_T6, Pseudodonghicola,0,0
UV,T6,PP,PP_UV_T6, Prochloron P1-Palau,0,0
UV,T6,PP,PP_UV_T6, Tamlana,0,0
UV,T6,PP,PP_UV_T6, Blastococcus,0,0
UV,T6,PP,PP_UV_T6, Caldora VP642b,0,0
UV,T6,PP,PP_UV_T6, Cyclobacterium,0,0
UV,T6,PP,PP_UV_T6, Roseomonas,0,0
UV,T6,PP,PP_UV_T6, Terrimonas,0,0
UV,T6,PP,PP_UV_T6, Moheibacter,0,0
UV,T6,PP,PP_UV_T6, Haliscomenobacter,0,0
UV,T6,PP,PP_UV_T6, Nocardiopsis,0,0
UV,T6,PP,PP_UV_T6, Antarctobacter,0,0
UV,T6,PP,PP_UV_T6, Sabulilitoribacter sp.,0,0
UV,T6,PP,PP_UV_T6, Plesiomonas,0,0
UV,T6,PP,PP_UV_T6, Prevotella 6,0,0
UV,T6,PP,PP_UV_T6, Fusobacterium,0,0
UV,T6,PP,PP_UV_T6, Kingella,0,0
UV,T6,PP,PP_UV_T6, Koukoulia,0,0
UV,T6,PP,PP_UV_T6, Candidatus Omnitrophus,0,0
UV,T6,PP,PP_UV_T6, Leptolyngbya S2C11,0,0
UV,T6,PP,PP_UV_T6, Candidatus Thiodiazotropha,0,0
UV,T6,PP,PP_UV_T6, Pectobacterium,0,0
UV,T6,PP,PP_UV_T6, Sphaerotilus,0,0
UV,T6,PP,PP_UV_T6, Haematobacter,0,0
UV,T6,PP,PP_UV_T6, Sporocytophaga,0,0
UV,T6,PP,PP_UV_T6, Pragia,0,0
UV,T6,PP,PP_UV_T6, Ruminococcaceae UCG-014,0,0
UV,T6,PP,PP_UV_T6, Fusibacter,0,0
UV,T6,PP,PP_UV_T6, Rubricoccus,0,0
UV,T6,PP,PP_UV_T6, CL500-3,0,0
UV,T6,PP,PP_UV_T6, OM75 clade,0,0
UV,T6,PP,PP_UV_T6, Acanthopleuribacter,0,0
UV,T6,PP,PP_UV_T6, Xenococcus CRM,0,0
UV,T6,PP,PP_UV_T6, Clostridioides,0,0
UV,T6,PP,PP_UV_T6, Alkanindiges,0,0
UV,T6,PP,PP_UV_T6, Thiolapillus,0,0
UV,T6,PP,PP_UV_T6, Atopostipes,0,0
UV,T6,PP,PP_UV_T6, Breoghania,0,0
UV,T6,PP,PP_UV_T6, Sulfurovum,0,0
UV,T6,PP,PP_UV_T6, Prochlorothrix PCC-9006,0,0
UV,T6,PP,PP_UV_T6, Alkalimarinus,0,0
UV,T6,PP,PP_UV_T6, Friedmanniella,0,0
UV,T6,PP,PP_UV_T6, Spongiimicrobium,0,0
UV,T6,PP,PP_UV_T6, Weissella,0,0
UV,T6,PP,PP_UV_T6, Parapusillimonas,0,0
UV,T6,PP,PP_UV_T6, Peptoniphilus,0,0
UV,T6,PP,PP_UV_T6, Salmonella,0,0
UV,T6,PP,PP_UV_T6, Capnocytophaga,0,0
UV,T6,PP,PP_UV_T6, Candidatus Tenderia,0,0
UV,T6,PP,PP_UV_T6, Anaerobacillus,0,0
UV,T6,PP,PP_UV_T6, Paramaledivibacter,0,0
UV,T6,PP,PP_UV_T6, Sedimenticola,0,0
UV,T6,PP,PP_UV_T6, NS3a marine group,0,0
UV,T6,PP,PP_UV_T6, Rubrivirga,0,0
UV,T6,PP,PP_UV_T6, Gangjinia,0,0
UV,T6,PP,PP_UV_T6, Anaerolinea,0,0
UV,T6,PP,PP_UV_T6, PAUC26f,0,0
UV,T6,PP,PP_UV_T6, Candidatus Phytoplasma,0,0
UV,T6,PP,PP_UV_T6, Oricola,0,0
UV,T6,PP,PP_UV_T6, Algivirga,0,0
UV,T6,PP,PP_UV_T6, Coprococcus 2,0,0
UV,T6,PP,PP_UV_T6, [Desulfobacterium] catecholicum group,0,0
